protein_id,symbol,description,entrez_id,ensembl,subcell_loc,passed_filter,protein_cluster,median_npeptides_quantification,prop_samples_expr
O60925,PFDN1,RecName: Full=Prefoldin subunit 1,5201,ENSG00000113068,NA,FALSE,NA,3,0.8412698412698413
Q9UHV9,PFDN2,RecName: Full=Prefoldin subunit 2,5202,ENSG00000143256,Nucleus,TRUE,5,14,1
Q9NQP4,PFDN4,RecName: Full=Prefoldin subunit 4; AltName: Full=Protein C-1,5203,ENSG00000101132,Nucleus,TRUE,5,9,1
Q99471,PFDN5,RecName: Full=Prefoldin subunit 5; AltName: Full=C-Myc-binding protein Mm-1; AltName: Full=Myc modulator 1,5204,ENSG00000123349,Nucleus,TRUE,5,18,1
O15212,PFDN6,RecName: Full=Prefoldin subunit 6; AltName: Full=Protein Ke2,10471,ENSG00000204220,NA,TRUE,5,12,1
P16118,PFKFB1,"RecName: Full=6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1; Short=6PF-2-K/Fru-2,6-P2ase 1; Short=PFK/FBPase 1; AltName: Full=6PF-2-K/Fru-2,6-P2ase liver isozyme; Includes: RecName: Full=6-phosphofructo-2-kinase; EC=2.7.1.105; Includes: RecN",5207,ENSG00000158571,NA,FALSE,NA,1,0
O60825,PFKFB2,"RecName: Full=6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2; Short=6PF-2-K/Fru-2,6-P2ase 2; Short=PFK/FBPase 2; AltName: Full=6PF-2-K/Fru-2,6-P2ase heart-type isozyme; Includes: RecName: Full=6-phosphofructo-2-kinase; EC=2.7.1.105; Includes:",5208,ENSG00000123836,NA,FALSE,NA,2,0.6825396825396826
Q16875,PFKFB3,"RecName: Full=6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3; Short=6PF-2-K/Fru-2,6-P2ase 3; Short=PFK/FBPase 3; AltName: Full=6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme; AltName: Full=Renal carcinoma antigen NY-REN-56; AltName: Full=i",5209,ENSG00000170525,NA,FALSE,NA,1,0.31746031746031744
Q16877,PFKFB4,"RecName: Full=6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4; Short=6PF-2-K/Fru-2,6-P2ase 4; Short=PFK/FBPase 4; AltName: Full=6PF-2-K/Fru-2,6-P2ase testis-type isozyme; Includes: RecName: Full=6-phosphofructo-2-kinase; EC=2.7.1.105; Includes",5210,ENSG00000114268,NA,FALSE,NA,1,0.5238095238095238
P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",5211,ENSG00000141959,Cytoplasm,TRUE,1,54,1
P08237,PFKM,"RecName: Full=6-phosphofructokinase, muscle type; EC=2.7.1.11; AltName: Full=Phosphofructo-1-kinase isozyme A; Short=PFK-A; Short=Phosphofructokinase-M; AltName: Full=Phosphofructokinase 1; AltName: Full=Phosphohexokinase",5213,ENSG00000152556,Cytoplasm,TRUE,1,24,1
Q01813,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",5214,ENSG00000067057,Cytoplasm,TRUE,4,94,1
P07737,PFN1,Profilin-1,5216,ENSG00000108518,"Cytoplasm, cytoskeleton",TRUE,4,81,1
P35080,PFN2,Profilin-2,5217,ENSG00000070087,"Cytoplasm, cytoskeleton",TRUE,6,9,1
P60673,PFN3,Profilin-3,345456,ENSG00000196570,"Cytoplasm, cytoskeleton",FALSE,NA,1,0.015873015873015872
P18669,PGAM1,Phosphoglycerate mutase 1,5223,ENSG00000171314,NA,TRUE,6,64,1
P15259,PGAM2,Phosphoglycerate mutase 2,5224,ENSG00000164708,NA,FALSE,NA,1,0
Q8N0Y7,PGAM4,Probable phosphoglycerate mutase 4,441531,ENSG00000226784,NA,FALSE,NA,1,0.015873015873015872
Q96HS1,PGAM5,"RecName: Full=Serine/threonine-protein phosphatase PGAM5, mitochondrial; EC=3.1.3.16; AltName: Full=Bcl-XL-binding protein v68; AltName: Full=Phosphoglycerate mutase family member 5",192111,ENSG00000247077,Mitochondrion outer membrane,TRUE,3,6,0.9206349206349206
Q75T13,PGAP1,RecName: Full=GPI inositol-deacylase; EC=3.1.-.-; AltName: Full=Post-GPI attachment to proteins factor 1; Short=hPGAP1,80055,ENSG00000197121,Endoplasmic reticulum membrane,FALSE,NA,1,0.2698412698412698
Q96FM1,PGAP3,Post-GPI attachment to proteins factor 3,93210,ENSG00000161395,Golgi apparatus membrane,FALSE,NA,1,0
Q6P3X8,PGBD2,PiggyBac transposable element-derived protein 2,267002,ENSG00000185220,NA,FALSE,NA,1,0
Q8N414,PGBD5,PiggyBac transposable element-derived protein 5,79605,ENSG00000177614,Nucleus,FALSE,NA,1,0.015873015873015872
P20142,PGC,Gastricsin,5225,ENSG00000096088,Secreted,FALSE,NA,1,0.015873015873015872
P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",5226,ENSG00000142657,Cytoplasm,TRUE,4,90,1
P49763,PGF,Placenta growth factor,5228,ENSG00000119630,Secreted,FALSE,NA,1,0.031746031746031744
Q32M88,PGGHG,Acid trehalase-like protein 1,80162,ENSG00000142102,NA,FALSE,NA,1,0
P53609,PGGT1B,RecName: Full=Geranylgeranyl transferase type-1 subunit beta; EC=2.5.1.59; AltName: Full=Geranylgeranyl transferase type I subunit beta; Short=GGTase-I-beta; AltName: Full=Type I protein geranyl-geranyltransferase subunit beta,5229,ENSG00000164219,NA,FALSE,NA,2,0.7301587301587301
P00558,PGK1,Phosphoglycerate kinase 1,5230,ENSG00000102144,Cytoplasm,TRUE,8,162,1
P07205,PGK2,Phosphoglycerate kinase 2,5232,ENSG00000170950,Cytoplasm,FALSE,NA,1,0.07936507936507936
O95336,PGLS,RecName: Full=6-phosphogluconolactonase; Short=6PGL; EC=3.1.1.31,25796,ENSG00000130313,Cytoplasm,TRUE,8,34,1
O75594,PGLYRP1,Peptidoglycan recognition protein 1,8993,ENSG00000008438,Secreted,FALSE,NA,3,0.07936507936507936
Q96PD5,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,114770,ENSG00000161031,Secreted,FALSE,NA,8,0.2222222222222222
P36871,PGM1,Phosphoglucomutase-1,5236,ENSG00000079739,Cytoplasm,TRUE,7,47,1
Q96G03,PGM2,RecName: Full=Phosphoglucomutase-2; Short=PGM 2; EC=5.4.2.2; AltName: Full=Glucose phosphomutase 2; AltName: Full=Phosphodeoxyribomutase; AltName: Full=Phosphopentomutase; EC=5.4.2.7,55276,ENSG00000169299,Cytoplasm,TRUE,6,41,1
Q6PCE3,PGM2L1,"RecName: Full=Glucose 1,6-bisphosphate synthase; EC=2.7.1.106; AltName: Full=PMMLP; AltName: Full=Phosphoglucomutase-2-like 1",283209,ENSG00000165434,NA,TRUE,4,5,0.9206349206349206
O95394,PGM3,RecName: Full=Phosphoacetylglucosamine mutase; Short=PAGM; EC=5.4.2.3; AltName: Full=Acetylglucosamine phosphomutase; AltName: Full=N-acetylglucosamine-phosphate mutase; AltName: Full=Phosphoglucomutase-3; Short=PGM 3,5238,ENSG00000013375,NA,TRUE,2,15,1
Q15124,PGM5,Phosphoglucomutase-like protein 5,5239,ENSG00000154330,"Cell junction, adherens junction",FALSE,NA,5,0.5714285714285714
A6NDG6,PGP,RecName: Full=Phosphoglycolate phosphatase; Short=PGP; Short=PGPase; EC=3.1.3.18,283871,ENSG00000184207,NA,TRUE,6,8,1
Q9NXJ5,PGPEP1,Pyroglutamyl-peptidase 1,54858,ENSG00000130517,Cytoplasm,FALSE,NA,1,0.5555555555555556
P06401,PGR,Progesterone receptor,5241,ENSG00000082175,Nucleus,FALSE,NA,1,0
O00264,PGRMC1,RecName: Full=Membrane-associated progesterone receptor component 1; Short=mPR,10857,ENSG00000101856,Microsome membrane,TRUE,1,20,1
O15173,PGRMC2,RecName: Full=Membrane-associated progesterone receptor component 2; AltName: Full=Progesterone membrane-binding protein; AltName: Full=Steroid receptor protein DG6,10424,ENSG00000164040,Membrane,TRUE,6,10,1
Q32NB8,PGS1,"RecName: Full=CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial; EC=2.7.8.5; AltName: Full=Phosphatidylglycerophosphate synthase 1; Short=PGP synthase 1; Flags: Precursor",9489,ENSG00000087157,Mitochondrion,FALSE,NA,1,0.19047619047619047
O75167,PHACTR2,RecName: Full=Phosphatase and actin regulator 2,9749,ENSG00000112419,Membrane,FALSE,NA,1,0.19047619047619047
Q96KR7,PHACTR3,Phosphatase and actin regulator 3,116154,ENSG00000087495,Nucleus matrix,FALSE,NA,1,0
Q8IZ21,PHACTR4,RecName: Full=Phosphatase and actin regulator 4,65979,ENSG00000204138,Cytoplasm,FALSE,NA,2,0.7142857142857143
Q9H814,PHAX,RecName: Full=Phosphorylated adapter RNA export protein; AltName: Full=RNA U small nuclear RNA export adapter protein,51808,ENSG00000164902,"Nucleus, nucleoplasm",FALSE,NA,2,0.873015873015873
P35232,PHB,Prohibitin,5245,ENSG00000167085,Mitochondrion inner membrane,TRUE,5,53,1
Q99623,PHB2,RecName: Full=Prohibitin-2; AltName: Full=B-cell receptor-associated protein BAP37; AltName: Full=D-prohibitin; AltName: Full=Repressor of estrogen receptor activity,11331,ENSG00000215021,Mitochondrion inner membrane,TRUE,3,40,1
P78364,PHC1,Polyhomeotic-like protein 1,1911,ENSG00000111752,Nucleus,FALSE,NA,1,0.15873015873015872
Q8IXK0,PHC2,RecName: Full=Polyhomeotic-like protein 2; Short=hPH2; AltName: Full=Early development regulatory protein 2,1912,ENSG00000134686,Nucleus,FALSE,NA,2,0.9047619047619048
Q8NDX5,PHC3,RecName: Full=Polyhomeotic-like protein 3; AltName: Full=Early development regulatory protein 3; AltName: Full=Homolog of polyhomeotic 3; Short=hPH3,80012,ENSG00000173889,Nucleus,FALSE,NA,1,0.5873015873015873
Q6ICB4,PHETA2,Sesquipedalian-2,150368,ENSG00000177096,Early endosome,FALSE,NA,1,0.09523809523809523
P78562,PHEX,Phosphate-regulating neutral endopeptidase,5251,ENSG00000102174,Cell membrane,FALSE,NA,1,0.07936507936507936
O43189,PHF1,RecName: Full=PHD finger protein 1; Short=Protein PHF1; Short=hPHF1; AltName: Full=Polycomb-like protein 1; Short=hPCl1,5252,ENSG00000112511,Nucleus,FALSE,NA,1,0.36507936507936506
Q8WUB8,PHF10,RecName: Full=PHD finger protein 10; AltName: Full=BRG1-associated factor 45a; Short=BAF45a; AltName: Full=XAP135,55274,ENSG00000130024,Nucleus,FALSE,NA,2,0.746031746031746
Q9UIL8,PHF11,RecName: Full=PHD finger protein 11; AltName: Full=BRCA1 C-terminus-associated protein; AltName: Full=Renal carcinoma antigen NY-REN-34,51131,ENSG00000136147,Nucleus,FALSE,NA,1,0
Q96QT6,PHF12,RecName: Full=PHD finger protein 12; AltName: Full=PHD factor 1; Short=Pf1,57649,ENSG00000109118,Nucleus,FALSE,NA,1,0.31746031746031744
O94880,PHF14,RecName: Full=PHD finger protein 14,9678,ENSG00000106443,NA,TRUE,5,5,0.9841269841269841
Q5T6S3,PHF19,PHD finger protein 19,26147,ENSG00000119403,Nucleus,FALSE,NA,1,0
O75151,PHF2,RecName: Full=Lysine-specific demethylase PHF2; EC=1.14.11.-; AltName: Full=GRC5; AltName: Full=PHD finger protein 2,5253,ENSG00000197724,"Nucleus, nucleolus",FALSE,NA,1.5,0.5714285714285714
Q9BVI0,PHF20,RecName: Full=PHD finger protein 20; AltName: Full=Glioma-expressed antigen 2; AltName: Full=Hepatocellular carcinoma-associated antigen 58; AltName: Full=Novel zinc finger protein; AltName: Full=Transcription factor TZP,51230,ENSG00000025293,Nucleus,FALSE,NA,1,0.031746031746031744
A8MW92,PHF20L1,RecName: Full=PHD finger protein 20-like protein 1,51105,ENSG00000129292,NA,FALSE,NA,1,0.3492063492063492
Q96BD5,PHF21A,RecName: Full=PHD finger protein 21A; AltName: Full=BHC80a; AltName: Full=BRAF35-HDAC complex protein BHC80,51317,ENSG00000135365,Nucleus,FALSE,NA,1,0.4126984126984127
Q9BUL5,PHF23,PHD finger protein 23,79142,ENSG00000040633,Nucleus,FALSE,NA,1,0.31746031746031744
Q9UPV7,PHF24,PHD finger protein 24,23349,ENSG00000122733,NA,FALSE,NA,1,0
Q92576,PHF3,RecName: Full=PHD finger protein 3,23469,ENSG00000118482,NA,TRUE,3,5,0.9047619047619048
Q7RTV0,PHF5A,RecName: Full=PHD finger-like domain-containing protein 5A; Short=PHD finger-like domain protein 5A; AltName: Full=Splicing factor 3B-associated 14 kDa protein; Short=SF3b14b,84844,ENSG00000100410,Nucleus,FALSE,NA,2.5,0.5714285714285714
Q8IWS0,PHF6,RecName: Full=PHD finger protein 6; AltName: Full=PHD-like zinc finger protein,84295,ENSG00000156531,Nucleus,TRUE,5,4,0.9047619047619048
Q9UPP1,PHF8,"RecName: Full=Histone lysine demethylase PHF8; EC=1.14.11.27 {ECO:0000269|PubMed:19843542, ECO:0000269|PubMed:20023638}; AltName: Full=PHD finger protein 8",23133,ENSG00000172943,Nucleus,FALSE,NA,1,0.5396825396825397
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,26227,ENSG00000092621,NA,TRUE,3,67,1
Q8WWQ0,PHIP,RecName: Full=PH-interacting protein; Short=PHIP; AltName: Full=IRS-1 PH domain-binding protein; AltName: Full=WD repeat-containing protein 11,55023,ENSG00000146247,Nucleus,TRUE,3,7,0.9841269841269841
P46020,PHKA1,"RecName: Full=Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform; Short=Phosphorylase kinase alpha M subunit",5255,ENSG00000067177,Cell membrane,FALSE,NA,2,0.873015873015873
P46019,PHKA2,"RecName: Full=Phosphorylase b kinase regulatory subunit alpha, liver isoform; Short=Phosphorylase kinase alpha L subunit",5256,ENSG00000044446,Cell membrane,FALSE,NA,2,0.6031746031746031
Q93100,PHKB,RecName: Full=Phosphorylase b kinase regulatory subunit beta; Short=Phosphorylase kinase subunit beta,5257,ENSG00000102893,Cell membrane,FALSE,NA,2,0.746031746031746
P15735,PHKG2,"RecName: Full=Phosphorylase b kinase gamma catalytic chain, liver/testis isoform; Short=PHK-gamma-LT; Short=PHK-gamma-T; EC=2.7.11.19; AltName: Full=PSK-C3; AltName: Full=Phosphorylase kinase subunit gamma-2",5261,ENSG00000156873,NA,FALSE,NA,2,0.8095238095238095
Q8WV24,PHLDA1,Pleckstrin homology-like domain family A member 1,22822,ENSG00000139289,Cytoplasm,FALSE,NA,1,0.3333333333333333
Q53GA4,PHLDA2,RecName: Full=Pleckstrin homology-like domain family A member 2; AltName: Full=Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein; AltName: Full=Imprinted in placenta and liver protein; AltName: Full=Tumor-suppressing STF cDNA,7262,ENSG00000181649,Cytoplasm,FALSE,NA,1,0.23809523809523808
Q9Y5J5,PHLDA3,Pleckstrin homology-like domain family A member 3,23612,ENSG00000174307,Cytoplasm,FALSE,NA,1,0.2222222222222222
Q86UU1,PHLDB1,RecName: Full=Pleckstrin homology-like domain family B member 1; AltName: Full=Protein LL5-alpha,23187,ENSG00000019144,NA,TRUE,7,5,0.9365079365079365
Q86SQ0,PHLDB2,RecName: Full=Pleckstrin homology-like domain family B member 2; AltName: Full=Protein LL5-beta,90102,ENSG00000144824,Cytoplasm,FALSE,NA,3,0.873015873015873
Q6NSJ2,PHLDB3,RecName: Full=Pleckstrin homology-like domain family B member 3,653583,ENSG00000176531,NA,FALSE,NA,1,0.19047619047619047
O60346,PHLPP1,RecName: Full=PH domain leucine-rich repeat-containing protein phosphatase 1; EC=3.1.3.16; AltName: Full=Pleckstrin homology domain-containing family E member 1; Short=PH domain-containing family E member 1; AltName: Full=Suprachiasmatic nucleus circ,23239,ENSG00000081913,Cytoplasm,FALSE,NA,1,0.1746031746031746
Q6ZVD8,PHLPP2,PH domain leucine-rich repeat-containing protein phosphatase 2,23035,ENSG00000040199,Cytoplasm,FALSE,NA,1,0.015873015873015872
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,162466,ENSG00000173868,NA,FALSE,NA,1,0
Q8TCD6,PHOSPHO2,Pyridoxal phosphate phosphatase PHOSPHO2,493911,ENSG00000144362,NA,FALSE,NA,1,0.2222222222222222
Q9NRX4,PHPT1,RecName: Full=14 kDa phosphohistidine phosphatase; EC=3.1.3.-; AltName: Full=Phosphohistidine phosphatase 1; AltName: Full=Protein janus-A homolog,29085,ENSG00000054148,Cytoplasm,TRUE,7,24,1
Q9P1Y6,PHRF1,RecName: Full=PHD and RING finger domain-containing protein 1,57661,ENSG00000070047,NA,FALSE,NA,2,0.6984126984126984
Q9UMS5,PHTF1,Putative homeodomain transcription factor 1,10745,ENSG00000116793,Nucleus,FALSE,NA,1,0.047619047619047616
Q8N3S3,PHTF2,Putative homeodomain transcription factor 2,57157,ENSG00000006576,Nucleus,FALSE,NA,1,0.015873015873015872
O14832,PHYH,"Phytanoyl-CoA dioxygenase, peroxisomal",5264,ENSG00000107537,Peroxisome,FALSE,NA,1,0.38095238095238093
Q5SRE7,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1,254295,ENSG00000175287,NA,FALSE,NA,2,0.20634920634920634
Q92561,PHYHIP,Phytanoyl-CoA hydroxylase-interacting protein,9796,ENSG00000168490,NA,FALSE,NA,1,0
Q96FC7,PHYHIPL,Phytanoyl-CoA hydroxylase-interacting protein-like,84457,ENSG00000165443,NA,FALSE,NA,5,0
Q8IUZ5,PHYKPL,RecName: Full=5-phosphohydroxy-L-lysine phospho-lyase; EC=4.2.3.134; AltName: Full=Alanine--glyoxylate aminotransferase 2-like 2,85007,ENSG00000175309,Mitochondrion,FALSE,NA,1,0.2698412698412698
O43692,PI15,Peptidase inhibitor 15,51050,ENSG00000137558,Secreted,FALSE,NA,2,0.09523809523809523
Q6UXB8,PI16,Peptidase inhibitor 16,221476,ENSG00000164530,Secreted,FALSE,NA,1,0
P19957,PI3,Elafin,5266,ENSG00000124102,Secreted,FALSE,NA,5,0
Q9BTU6,PI4K2A,RecName: Full=Phosphatidylinositol 4-kinase type 2-alpha; EC=2.7.1.67; AltName: Full=Phosphatidylinositol 4-kinase type II-alpha,55361,ENSG00000155252,"Golgi apparatus, trans-Golgi network membrane",TRUE,8,10,1
Q8TCG2,PI4K2B,RecName: Full=Phosphatidylinositol 4-kinase type 2-beta; EC=2.7.1.67; AltName: Full=Phosphatidylinositol 4-kinase type II-beta; Short=PI4KII-BETA,55300,ENSG00000038210,Cytoplasm,FALSE,NA,1,0.2857142857142857
P42356,PI4KA,RecName: Full=Phosphatidylinositol 4-kinase alpha; Short=PI4-kinase alpha; Short=PI4K-alpha; Short=PtdIns-4-kinase alpha; EC=2.7.1.67,5297,ENSG00000241973,Cytoplasm,TRUE,7,4,0.7777777777777778
Q9UBF8,PI4KB,RecName: Full=Phosphatidylinositol 4-kinase beta; Short=PI4K-beta; Short=PI4Kbeta; Short=PtdIns 4-kinase beta; EC=2.7.1.67; AltName: Full=NPIK; AltName: Full=PI4K92,5298,NA,Endomembrane system,FALSE,NA,3,0.8095238095238095
Q8IYJ0,PIANP,PILR alpha-associated neural protein,196500,ENSG00000139200,Membrane,FALSE,NA,1,0.015873015873015872
O75925,PIAS1,RecName: Full=E3 SUMO-protein ligase PIAS1; EC=6.3.2.-; AltName: Full=DEAD/H box-binding protein 1; AltName: Full=Gu-binding protein; Short=GBP; AltName: Full=Protein inhibitor of activated STAT protein 1; AltName: Full=RNA helicase II-binding protei,8554,ENSG00000033800,Nucleus speckle,FALSE,NA,1,0.25396825396825395
O75928,PIAS2,RecName: Full=E3 SUMO-protein ligase PIAS2; EC=6.3.2.-; AltName: Full=Androgen receptor-interacting protein 3; Short=ARIP3; AltName: Full=DAB2-interacting protein; Short=DIP; AltName: Full=Msx-interacting zinc finger protein; Short=Miz1; AltName: Ful,9063,ENSG00000078043,Nucleus speckle,FALSE,NA,1,0.12698412698412698
Q9Y6X2,PIAS3,E3 SUMO-protein ligase PIAS3,10401,ENSG00000131788,Cytoplasm,FALSE,NA,1,0.19047619047619047
Q8N2W9,PIAS4,RecName: Full=E3 SUMO-protein ligase PIAS4; EC=6.3.2.-; AltName: Full=PIASy; AltName: Full=Protein inhibitor of activated STAT protein 4; AltName: Full=Protein inhibitor of activated STAT protein gamma; Short=PIAS-gamma,51588,NA,"Nucleus, PML body",FALSE,NA,1,0.2222222222222222
Q8WXW3,PIBF1,Progesterone-induced-blocking factor 1,10464,ENSG00000083535,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",FALSE,NA,1,0.25396825396825395
Q13492,PICALM,Phosphatidylinositol-binding clathrin assembly protein,8301,ENSG00000073921,Cell membrane,TRUE,4,16,1
Q9NRD5,PICK1,PRKCA-binding protein,9463,ENSG00000100151,"Cytoplasm, perinuclear region",FALSE,NA,2,0.3968253968253968
Q7Z2X4,PID1,"PTB-containing, cubilin and LRP1-interacting protein",55022,ENSG00000153823,Cytoplasm,FALSE,NA,1.5,0.015873015873015872
Q9HB75,PIDD1,p53-induced death domain-containing protein 1,55367,ENSG00000177595,Cytoplasm,FALSE,NA,1,0
Q92508,PIEZO1,RecName: Full=Piezo-type mechanosensitive ion channel component 1; AltName: Full=Membrane protein induced by beta-amyloid treatment; Short=Mib; AltName: Full=Protein FAM38A,9780,ENSG00000103335,Endoplasmic reticulum membrane,FALSE,NA,4,0.7936507936507936
Q9H5I5,PIEZO2,Piezo-type mechanosensitive ion channel component 2,63895,ENSG00000154864,Membrane,FALSE,NA,1,0
Q9H611,PIF1,ATP-dependent DNA helicase PIF1,80119,ENSG00000140451,Nucleus,FALSE,NA,1,0
P37287,PIGA,RecName: Full=Phosphatidylinositol N-acetylglucosaminyltransferase subunit A; EC=2.4.1.198; AltName: Full=GlcNAc-PI synthesis protein; AltName: Full=Phosphatidylinositol-glycan biosynthesis class A protein; Short=PIG-A,5277,ENSG00000165195,Endoplasmic reticulum membrane,FALSE,NA,1,0.12698412698412698
Q92521,PIGB,GPI mannosyltransferase 3,9488,ENSG00000069943,Endoplasmic reticulum membrane,FALSE,NA,1,0.031746031746031744
A0A0B4J2F0,PIGBOS1,Protein PIGBOS1,101928527,ENSG00000225973,Mitochondrion outer membrane,FALSE,NA,1,0.047619047619047616
Q5H8A4,PIGG,RecName: Full=GPI ethanolamine phosphate transferase 2; EC=2.-.-.-; AltName: Full=GPI7 homolog; Short=hGPI7; AltName: Full=Phosphatidylinositol-glycan biosynthesis class G protein; Short=PIG-G,54872,ENSG00000174227,Endoplasmic reticulum membrane,FALSE,NA,1,0.3492063492063492
Q14442,PIGH,Phosphatidylinositol N-acetylglucosaminyltransferase subunit H,5283,ENSG00000100564,Cytoplasm,FALSE,NA,1,0.015873015873015872
Q92643,PIGK,GPI-anchor transamidase,10026,ENSG00000142892,Endoplasmic reticulum membrane,TRUE,3,7,0.9365079365079365
Q9Y2B2,PIGL,N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase,9487,ENSG00000108474,Endoplasmic reticulum membrane,FALSE,NA,1,0.015873015873015872
Q9H3S5,PIGM,GPI mannosyltransferase 1,93183,ENSG00000143315,Endoplasmic reticulum membrane,FALSE,NA,1,0.15873015873015872
O95427,PIGN,RecName: Full=GPI ethanolamine phosphate transferase 1; EC=2.-.-.-; AltName: Full=MCD4 homolog; AltName: Full=Phosphatidylinositol-glycan biosynthesis class N protein; Short=PIG-N,23556,ENSG00000197563,Endoplasmic reticulum membrane,FALSE,NA,1,0.31746031746031744
Q8TEQ8,PIGO,RecName: Full=GPI ethanolamine phosphate transferase 3; EC=2.-.-.-; AltName: Full=Phosphatidylinositol-glycan biosynthesis class O protein; Short=PIG-O,84720,ENSG00000165282,Endoplasmic reticulum membrane,FALSE,NA,3,0.9365079365079365
Q9BRB3,PIGQ,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q,9091,ENSG00000007541,Membrane,FALSE,NA,1,0.031746031746031744
P01833,PIGR,RecName: Full=Polymeric immunoglobulin receptor; Short=PIgR; Short=Poly-Ig receptor; AltName: Full=Hepatocellular carcinoma-associated protein TB6; Contains: RecName: Full=Secretory component; Flags: Precursor,5284,ENSG00000162896,Cell membrane,FALSE,NA,3,0.1111111111111111
Q96S52,PIGS,RecName: Full=GPI transamidase component PIG-S; AltName: Full=Phosphatidylinositol-glycan biosynthesis class S protein,94005,ENSG00000087111,Endoplasmic reticulum membrane,TRUE,3,9,1
Q969N2,PIGT,RecName: Full=GPI transamidase component PIG-T; AltName: Full=Phosphatidylinositol-glycan biosynthesis class T protein; Flags: Precursor,51604,ENSG00000124155,Endoplasmic reticulum membrane,TRUE,3,4,0.8888888888888888
Q9H490,PIGU,RecName: Full=Phosphatidylinositol glycan anchor biosynthesis class U protein; AltName: Full=Cell division cycle protein 91-like 1; Short=Protein CDC91-like 1; AltName: Full=GPI transamidase component PIG-U,128869,ENSG00000101464,Endoplasmic reticulum membrane,TRUE,3,5,0.9841269841269841
Q9NUD9,PIGV,GPI mannosyltransferase 2,55650,ENSG00000060642,Endoplasmic reticulum membrane,FALSE,NA,1,0.015873015873015872
Q8TBF5,PIGX,RecName: Full=Phosphatidylinositol-glycan biosynthesis class X protein; Short=PIG-X; Flags: Precursor,54965,ENSG00000163964,Endoplasmic reticulum membrane,FALSE,NA,1,0.14285714285714285
Q9NWS0,PIH1D1,RecName: Full=PIH1 domain-containing protein 1; AltName: Full=Nucleolar protein 17 homolog,55011,ENSG00000104872,Nucleus,TRUE,5,7,0.9841269841269841
Q8WWB5,PIH1D2,PIH1 domain-containing protein 2,120379,ENSG00000150773,NA,FALSE,NA,1,0.2698412698412698
Q9NQM4,PIH1D3,Protein PIH1D3,139212,ENSG00000080572,Cytoplasm,FALSE,NA,1,0
Q6ZUJ8,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1,118788,ENSG00000155629,Cytoplasm,FALSE,NA,1,0.015873015873015872
O00443,PIK3C2A,RecName: Full=Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha; Short=PI3K-C2-alpha; Short=PtdIns-3-kinase C2 subunit alpha; EC=2.7.1.154; AltName: Full=Phosphoinositide 3-kinase-C2-alpha,5286,ENSG00000011405,Cell membrane,TRUE,4,6,0.8888888888888888
O00750,PIK3C2B,RecName: Full=Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta; Short=PI3K-C2-beta; Short=PtdIns-3-kinase C2 subunit beta; EC=2.7.1.154; AltName: Full=C2-PI3K; AltName: Full=Phosphoinositide 3-kinase-C2-beta,5287,ENSG00000133056,Microsome,FALSE,NA,3,0.8095238095238095
O75747,PIK3C2G,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma,5288,ENSG00000139144,Membrane,FALSE,NA,1,0.14285714285714285
Q8NEB9,PIK3C3,RecName: Full=Phosphatidylinositol 3-kinase catalytic subunit type 3; Short=PI3-kinase type 3; Short=PI3K type 3; Short=PtdIns-3-kinase type 3; EC=2.7.1.137; AltName: Full=Phosphatidylinositol 3-kinase p100 subunit; AltName: Full=Phosphoinositide-3-k,5289,ENSG00000078142,Midbody,FALSE,NA,3,0.8888888888888888
P42336,PIK3CA,"RecName: Full=Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Short=PI3-kinase subunit alpha; Short=PI3K-alpha; Short=PI3Kalpha; Short=PtdIns-3-kinase subunit alpha; EC=2.7.1.153; AltName: Full=Phosphatidylinositol 4,5",5290,ENSG00000121879,NA,FALSE,NA,2,0.6825396825396826
